F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,id
True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,2
True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,54
True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,85
True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,118
True,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,False,True,False,False,183
True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,260
True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,350
True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,False,461
True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,658
True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,987
True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,1221
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,1241
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,1247
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,1297
True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,1392
True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,1446
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,1706
True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,2009
True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,2079
True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,2107
True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,2126
True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,False,False,2779
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,2805
True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,True,False,False,2833
True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,2891
True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False,3197
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,3341
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,3350
True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,3412
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,3458
True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,3500
True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,3529
True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,3632
True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,3800
