Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
12,15,11110111000011110000,1.0,100147
30,273,11110001000000000000,1.0,286
38,47,11100111011101110000,1.0,648828
50,1994,11110001000000000000,1.0,42449
50,5396,11110001000000000000,1.0,54417
51,10743,11110101000000000000,1.0,481
53,10745,11110001000001000000,1.0,14125
56,2000,11111111011001110000,1.0,437805
81,162,11111111111001110000,1.0,106750
86,5432,11111110111010101000,1.0,152886
131,134,11111101000000000000,1.0,1064
131,2075,11111101000000000000,1.0,1900
134,5480,11111101000000000000,1.0,1624
134,10826,11111101000000000000,1.0,812
137,5483,11110111011001110000,1.0,366744
145,10837,11110111111001110000,1.0,3736872
157,5503,11110101000001100000,1.0,924798
160,161,11111101000001100000,1.0,28620
190,199,11110111111100111000,1.0,712950
200,209,11111111111001110000,1.0,683272
212,215,11111001000000000000,1.0,1156
214,10906,11111101000000000000,1.0,1271
258,259,11110111000001110000,1.0,1193346
259,340,11110111000001110000,1.0,2446224
259,502,11110111000001110000,1.0,5596008
273,354,11110001000000000000,1.0,308
273,3675,11110001000000000000,1.0,242
288,289,10100001000000000000,1.0,2496
288,291,10100001000000000000,1.0,1584
288,450,10100001000000000000,1.0,1056
288,2232,10100001000000000000,1.0,1824
288,5634,10100001000000000000,1.0,576
289,292,10100001000000000000,1.0,1404
289,2233,10100001000000000000,1.0,3328
290,293,10100001000001000000,1.0,70564
290,371,10100001000001000000,1.0,72452
290,3692,10100001000001000000,1.0,48616
290,5636,10100001000001000000,1.0,106672
291,292,10100001000000000000,1.0,891
291,2235,10100001000000000000,1.0,1749
292,373,10100001000000000000,1.0,1863
292,2236,10100001000000000000,1.0,2322
293,374,10100001000001000000,1.0,97175
293,455,10100001000001000000,1.0,67275
293,3695,10100001000001000000,1.0,62491
296,458,10100001000000000000,1.0,18507
296,2240,10100001000000000000,1.0,51342
296,3698,10100001000000000000,1.0,38805
296,5642,10100001000000000000,1.0,76814
319,400,10100001000001100000,1.0,942084
319,481,10100001000001100000,1.0,582672
323,5669,10100001000001100000,1.0,111946
340,583,11110111000001110000,1.0,9945808
354,372,11110001000000000000,1.0,966
371,374,10100001000001000000,1.0,99775
371,377,10100001000001000000,1.0,97626
372,375,11110001000000000000,1.0,1518
372,453,11110001000000000000,1.0,2001
373,2317,10100001000000000000,1.0,4899
374,377,10100001000001000000,1.0,103350
374,455,10100001000001000000,1.0,73125
374,2318,10100001000001000000,1.0,111475
374,3776,10100001000001000000,1.0,85475
374,5720,10100001000001000000,1.0,178425
377,2321,10100001000001000000,1.0,116070
377,5723,10100001000001000000,1.0,170766
378,621,11110011000011110000,1.0,519288
396,477,11110011000011100000,1.0,541450
400,481,10100001000001100000,1.0,1024452
417,660,11110111000011110000,1.0,423678
418,661,11110111000001110000,1.0,390280
450,5796,10100001000000000000,1.0,2398
457,458,10100001000000000000,1.0,3069
458,2402,10100001000000000000,1.0,14136
458,5804,10100001000000000000,1.0,18042
481,484,10100001000001100000,1.0,165568
489,516,11110111000011110100,1.0,909395
490,493,11110111001101110000,1.0,1057800
495,498,11110111000001110000,1.0,1110256
495,5841,11110111000001110000,1.0,1059398
498,499,11110111000001110000,1.0,1479912
498,507,11110111000001110000,1.0,1289288
499,502,11110111000001110000,1.0,4752264
499,508,11110111000001110000,1.0,955968
499,580,11110111000001110000,1.0,1730394
499,661,11110111000001110000,1.0,1019163
500,662,11111111000001110000,1.0,202570
502,583,11110111000001110000,1.0,22752136
505,506,11111111000011110000,1.0,124223
506,533,11111111000011110000,1.0,164197
