Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
29,10802,11111101011001100001,2.0,198
37,14131,11110111111001110001,2.0,3744
109,3510,11110111011111100001,2.0,2520
128,5465,11110101111011110001,2.0,7350
665,6038,11110111011011110001,2.0,4585
734,950,11111110111110101001,2.0,2190
734,1112,11111110111110101001,2.0,1710
734,6404,11111110111110101001,2.0,1050
1112,6404,11111110111110101001,2.0,1995
1112,6455,11111110111110101001,2.0,1425
1294,8098,11111110111110000001,2.0,275
1432,1434,11111010111100001001,2.0,1675
1439,2896,11111110111100101001,2.0,5320
1463,1652,11111110111100001001,2.0,4524
1463,2948,11111110111100001001,2.0,6844
1463,2975,11111110111100001001,2.0,4176
1463,4892,11111110111100001001,2.0,8410
1463,13613,11111110111100001001,2.0,1798
1571,12506,11111110111110000001,2.0,5668
1652,2948,11111110111100001001,2.0,9204
1652,4892,11111110111100001001,2.0,11310
1652,10400,11111110111100001001,2.0,5928
1652,12347,11111110111100001001,2.0,1404
1793,5114,11111110111100101001,2.0,2840
1793,5194,11111110111100101001,2.0,6674
1793,13943,11111110111100101001,2.0,7242
1844,4544,11111110111110001001,2.0,2501
1865,8669,11111110111110100011,2.0,5170
1865,12563,11111110111110100011,2.0,2538
2134,7498,11110111111101101001,2.0,4173
2161,12691,11110111111101101001,2.0,2765
2702,4649,11111110111110001001,2.0,5494
2702,8051,11111110111110001001,2.0,5695
2705,2813,11111110111110000001,2.0,816
2705,8024,11111110111110000001,2.0,2928
2732,2948,11111110111100001001,2.0,1416
2896,10186,11111110111100101001,2.0,39976
2905,13516,11111110111110101001,2.0,42390
2948,13613,11111110111100001001,2.0,3658
2948,13637,11111110111100001001,2.0,4366
2948,13883,11111110111100001001,2.0,8732
2975,3059,11111110111100001001,2.0,9360
2975,4892,11111110111100001001,2.0,10440
2975,8078,11111110111100001001,2.0,2880
2975,8402,11111110111100001001,2.0,6480
2975,13613,11111110111100001001,2.0,2232
3056,3302,11111110111110001001,2.0,8051
3056,8375,11111110111110001001,2.0,17751
3059,3383,11111110111100001001,2.0,8710
3059,8402,11111110111100001001,2.0,11700
3302,4544,11111110111110001001,2.0,5063
3323,8588,11111110111100101001,2.0,7626
3323,14021,11111110111100101001,2.0,5494
3323,14033,11111110111100101001,2.0,1722
3340,12574,11111110111110100011,2.0,2870
3383,4841,11111110111100001001,2.0,2747
3701,3788,11111110111100101001,2.0,1449
3786,5082,11111110111110000001,2.0,2652
4178,4331,11111110111110000001,2.0,1537
4217,4382,11111110111100101001,2.0,7047
4217,9617,11111110111100101001,2.0,7452
4218,4228,11111110111100001001,2.0,1944
4220,4328,11111110111110101001,2.0,5200
4220,4436,11111110111110101001,2.0,5800
4220,9620,11111110111110101001,2.0,10000
4328,4430,11111110111110101001,2.0,8164
4331,4502,11111110111110000001,2.0,1113
4430,15068,11111110111110101001,2.0,9106
4436,9620,11111110111110101001,2.0,5800
4484,4489,11111110111110001001,2.0,3250
4484,4544,11111110111110001001,2.0,3050
4484,15230,11111110111110001001,2.0,2150
4487,4489,11111110111110001001,2.0,7280
4487,4544,11111110111110001001,2.0,6832
4489,4544,11111110111110001001,2.0,3965
4493,4538,11111110111100001001,2.0,7452
4493,9830,11111110111100001001,2.0,3132
4538,9830,11111110111100001001,2.0,18009
4544,15230,11111110111110001001,2.0,2623
4592,15122,11111110111100101001,2.0,17526
4595,5162,11111110111110000001,2.0,3680
4622,4868,11111110111110001001,2.0,624
4646,4892,11111110111100001001,2.0,8845
4649,8051,11111110111110001001,2.0,6970
4841,15542,11111110111100001001,2.0,656
4862,15716,11111110111110000011,2.0,364
4862,15797,11111110111110000011,2.0,616
4892,10400,11111110111100001001,2.0,11020
4895,13643,11111110111110000001,2.0,3626
5114,5194,11111110111100101001,2.0,940
5162,10481,11111110111110000001,2.0,6992
5162,15827,11111110111110000001,2.0,1610
5511,5521,11111111111101101001,2.0,754
5522,6791,11111110111100001001,2.0,960
5536,7479,11110111111011110001,2.0,4030
5536,8937,11110111111011110001,2.0,2790
5572,8947,11110111111001111001,2.0,7209
5752,11101,11111111111111100001,2.0,2340
6404,6455,11111110111110101001,2.0,875
6623,8078,11111110111100001001,2.0,1280
6623,8099,11111110111100001001,2.0,1344
6623,8810,11111110111100001001,2.0,928
6709,12054,11111010111100001001,2.0,1312
6791,10190,11111110111100001001,2.0,1152
7022,7034,11111110111100001001,2.0,1598
7022,8426,11111110111100001001,2.0,7614
7022,9776,11111110111100001001,2.0,13912
7022,12374,11111110111100001001,2.0,1410
7130,10451,11111110111110100001,2.0,5250
7345,7480,11110111111001111001,2.0,10962
7480,8947,11110111111001111001,2.0,7047
8024,8102,11111110111110000001,2.0,1464
8051,8375,11111110111110001001,2.0,15555
8078,8099,11111110111100001001,2.0,1680
8078,8402,11111110111100001001,2.0,3600
8078,8510,11111110111100001001,2.0,2080
8098,13426,11111110111110000001,2.0,1325
8294,8372,11111110111100101001,2.0,42282
8372,8588,11111110111100101001,2.0,22599
8375,8537,11111110111110001001,2.0,28182
8402,8618,11111110111100001001,2.0,17550
8404,13749,11111110111100000001,2.0,3080
8426,13529,11111110111100001001,2.0,891
8510,8618,11111110111100001001,2.0,10140
8510,13613,11111110111100001001,2.0,1612
8510,13883,11111110111100001001,2.0,3848
8588,13943,11111110111100101001,2.0,4743
8606,13943,11111110111100101001,2.0,7242
8606,13951,11111110111100101001,2.0,7810
8606,14033,11111110111100101001,2.0,2982
8618,13883,11111110111100001001,2.0,14430
8618,15908,11111110111100001001,2.0,9945
8758,8838,11110111111011110001,2.0,7884
8758,8893,11110111111011110001,2.0,31390
8786,14141,11110111011011110001,2.0,5928
8838,8893,11110111111011110001,2.0,11610
8838,8928,11110111111011110001,2.0,2916
8894,8984,11111111111011100001,2.0,4505
8928,8937,11110111111011110001,2.0,4860
9068,14417,11110111111110000001,2.0,2139
9578,9848,11111110111110100001,2.0,627
9620,9941,11111110111110101001,2.0,10600
9620,14965,11111110111110101001,2.0,2600
9776,9830,11111110111100001001,2.0,12876
9776,9944,11111110111100001001,2.0,6660
9776,15128,11111110111100001001,2.0,8140
9830,9944,11111110111100001001,2.0,3915
9893,10568,11111110111110101001,2.0,11440
9944,15128,11111110111100001001,2.0,2475
10186,15370,11111110111100101001,2.0,11572
10190,15542,11111110111100001001,2.0,576
10612,15961,11111110111110001011,2.0,1980
10632,10636,11111111111110000011,2.0,5846
10632,15979,11111111111110000011,2.0,10428
10634,10636,11111111111110000011,2.0,1258
10634,15979,11111111111110000011,2.0,2244
10636,15979,11111111111110000011,2.0,2442
10871,11870,11111110111100100001,2.0,238
11475,11638,11110110111110101001,2.0,1170
11476,12232,11111110111110100001,2.0,1558
11974,12046,11111010111110000011,2.0,204
12051,12059,11111110111110000011,2.0,1023
12132,12376,11111010111110000011,2.0,756
12158,13610,11111110111110000001,2.0,1932
12158,13643,11111110111110000001,2.0,1372
12182,12341,11111110111110001001,2.0,1302
12296,15077,11111110111100000001,2.0,4251
12347,12428,11111110111100001001,2.0,360
12374,15128,11111110111100001001,2.0,825
12428,12449,11111110111100001001,2.0,940
12428,13883,11111110111100001001,2.0,1480
12449,13925,11111110111100001001,2.0,2209
12476,15932,11110110111110100001,2.0,8840
12506,15827,11111110111110000001,2.0,1820
12587,15962,11111110111110001011,2.0,656
13366,13426,11111110111110000001,2.0,848
13366,13610,11111110111110000001,2.0,1104
13366,13771,11111110111110000001,2.0,576
13425,13445,11111110111100001001,2.0,720
13426,13436,11111110111110000001,2.0,848
13427,15452,11110110111110100001,2.0,1872
13445,13925,11111110111100001001,2.0,846
13589,15371,11111110111110101001,2.0,3317
13601,14033,11111110111100101001,2.0,693
13610,13643,11111110111110000001,2.0,3381
13610,13771,11111110111110000001,2.0,2484
13613,13637,11111110111100001001,2.0,1147
13613,13883,11111110111100001001,2.0,2294
13637,13883,11111110111100001001,2.0,2738
13643,13751,11111110111110000001,2.0,4116
13778,15965,11111110111111100011,2.0,483
13883,15908,11111110111100001001,2.0,3774
13943,13951,11111110111100101001,2.0,2805
13943,14033,11111110111100101001,2.0,1071
13951,14033,11111110111100101001,2.0,1155
14021,14033,11111110111100101001,2.0,1407
14283,14311,11111111111101101001,2.0,4806
14311,14323,11111111111101101001,2.0,5785
14722,15073,11111111111101101001,2.0,4712
15452,15932,11110110111110100001,2.0,8160
15476,15500,11111110111100000001,2.0,196
15635,15715,11111110111100001001,2.0,665
15716,15797,11111110111110000011,2.0,286
15716,15957,11111110111110000011,2.0,390
15797,15957,11111110111110000011,2.0,660
