Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
5,1690,11111110111110001000,7.0,10720
5,5031,11111110111110001000,7.0,9313
5,5087,11111110111110001000,7.0,29346
5,5280,11111110111110001000,7.0,26867
5,7172,11111110111110001000,7.0,19296
5,8097,11111110111110001000,7.0,15678
5,8174,11111110111110001000,7.0,51992
5,8360,11111110111110001000,7.0,96279
5,8621,11111110111110001000,7.0,22914
5,10054,11111110111110001000,7.0,9782
5,10124,11111110111110001000,7.0,15611
5,10322,11111110111110001000,7.0,17755
5,10622,11111110111110001000,7.0,36984
5,10652,11111110111110001000,7.0,13601
5,10673,11111110111110001000,7.0,5695
5,12383,11111110111110001000,7.0,21239
5,13444,11111110111110001000,7.0,7638
5,13967,11111110111110001000,7.0,19698
5,14921,11111110111110001000,7.0,3149
5,15023,11111110111110001000,7.0,11993
5,15645,11111110111110001000,7.0,11189
9,9340,11110111100011110000,7.0,85698
12,4102,11110111000011110000,7.0,4693
12,6040,11110111000011110000,7.0,5358
12,6041,11110111000011110000,7.0,3306
12,8863,11110111000011110000,7.0,2679
12,8881,11110111000011110000,7.0,14003
12,9286,11110111000011110000,7.0,2109
12,11305,11110111000011110000,7.0,6251
12,11386,11110111000011110000,7.0,4275
12,13240,11110111000011110000,7.0,2698
12,13304,11110111000011110000,7.0,1463
12,13321,11110111000011110000,7.0,2223
12,13322,11110111000011110000,7.0,1748
12,13329,11110111000011110000,7.0,2261
12,14227,11110111000011110000,7.0,4085
12,14704,11110111000011110000,7.0,7904
12,14780,11110111000011110000,7.0,2242
12,14793,11110111000011110000,7.0,3116
13,4130,11111111100001110000,7.0,660
15,6040,11110111000011110000,7.0,19458
15,6041,11110111000011110000,7.0,12006
15,7968,11110111000011110000,7.0,5589
15,11290,11110111000011110000,7.0,4209
15,11305,11110111000011110000,7.0,22701
15,11308,11110111000011110000,7.0,32085
15,11371,11110111000011110000,7.0,13662
15,11386,11110111000011110000,7.0,15525
15,13240,11110111000011110000,7.0,9798
15,13304,11110111000011110000,7.0,5313
15,13321,11110111000011110000,7.0,8073
15,13322,11110111000011110000,7.0,6348
15,13329,11110111000011110000,7.0,8211
15,14780,11110111000011110000,7.0,8142
15,14899,11110111000011110000,7.0,4140
18,7988,11110101000011110000,7.0,5346
18,14434,11110101000011110000,7.0,6966
25,2622,11110111000001110000,7.0,10960
25,3794,11110111000001110000,7.0,1040
25,5940,11110111000001110000,7.0,56240
25,7491,11110111000001110000,7.0,19040
25,7518,11110111000001110000,7.0,9840
25,11327,11110111000001110000,7.0,5840
25,11376,11110111000001110000,7.0,51360
25,13158,11110111000001110000,7.0,4240
25,13250,11110111000001110000,7.0,5760
25,13275,11110111000001110000,7.0,1600
25,13332,11110111000001110000,7.0,13600
25,13334,11110111000001110000,7.0,7360
25,14616,11110111000001110000,7.0,8080
25,14703,11110111000001110000,7.0,37120
25,14751,11110111000001110000,7.0,10000
25,14754,11110111000001110000,7.0,6880
25,14787,11110111000001110000,7.0,12960
25,15207,11110111000001110000,7.0,6000
25,15216,11110111000001110000,7.0,11120
56,7964,11111111011001110000,7.0,78986
56,11121,11111111011001110000,7.0,16498
56,14739,11111111011001110000,7.0,12702
56,14954,11111111011001110000,7.0,26426
73,6198,11110111000011100000,7.0,4095
73,9096,11110111000011100000,7.0,3159
73,14670,11110111000011100000,7.0,6903
73,14826,11110111000011100000,7.0,1404
74,7712,11110111001011110001,7.0,3420
76,4191,11110101000001110000,7.0,297
76,4525,11110101000001110000,7.0,429
76,4527,11110101000001110000,7.0,1067
76,8997,11110101000001110000,7.0,594
76,9171,11110101000001110000,7.0,616
76,12885,11110101000001110000,7.0,869
76,12984,11110101000001110000,7.0,979
76,13248,11110101000001110000,7.0,902
76,14352,11110101000001110000,7.0,286
76,14469,11110101000001110000,7.0,143
81,8950,11111111111001110000,7.0,95364
81,13114,11111111111001110000,7.0,12420
81,14305,11111111111001110000,7.0,50868
81,14308,11111111111001110000,7.0,25056
86,9674,11111110111010101000,7.0,70680
86,10640,11111110111010101000,7.0,94560
87,14140,11110111011011010000,7.0,2450
89,6633,11111111111101100000,7.0,163215
89,6960,11111111111101100000,7.0,191394
89,10309,11111111111101100000,7.0,28179
89,11983,11111111111101100000,7.0,98487
89,12142,11111111111101100000,7.0,69471
90,9376,11111111111011110000,7.0,44376
95,13841,11111110010010000000,7.0,121
95,14001,11111110010010000000,7.0,132
106,7811,11110111011001100000,7.0,50718
106,13191,11110111011001100000,7.0,43371
107,15732,11111111011011100010,7.0,4992
117,3914,11110111010001110000,7.0,31229
117,7768,11110111010001110000,7.0,49265
117,9240,11110111010001110000,7.0,77822
117,9287,11110111010001110000,7.0,48263
117,9322,11110111010001110000,7.0,158817
117,9420,11110111010001110000,7.0,65965
117,11204,11110111010001110000,7.0,54275
117,11416,11110111010001110000,7.0,44589
117,11419,11110111010001110000,7.0,64963
117,13282,11110111010001110000,7.0,42418
117,14586,11110111010001110000,7.0,41750
117,14599,11110111010001110000,7.0,39245
117,14748,11110111010001110000,7.0,80494
117,14759,11110111010001110000,7.0,52772
118,7783,11110111011011110000,7.0,517928
118,9321,11110111011011110000,7.0,328192
118,11184,11110111011011110000,7.0,334602
118,13048,11110111011011110000,7.0,111534
118,13309,11110111011011110000,7.0,216017
127,13209,11110111011100111000,7.0,155526
129,4051,11111101000000100000,7.0,638
129,4141,11111101000000100000,7.0,121
129,4247,11111101000000100000,7.0,605
129,4299,11111101000000100000,7.0,484
129,14584,11111101000000100000,7.0,121
