Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
4,5592,11110111111110100100,3.0,4089
5,1460,11111110111110001000,3.0,7605
5,3164,11111110111110001000,3.0,4160
20,227,11111111111111110000,3.0,5044
23,8825,11111111110011000000,3.0,2760
26,3587,11111111110001110000,3.0,858
81,575,11111111111001110000,3.0,864
81,5447,11111111111001110000,3.0,10432
86,800,11111110111010101000,3.0,8300
86,1541,11111110111010101000,3.0,11400
86,3785,11111110111010101000,3.0,7500
86,6137,11111110111010101000,3.0,41200
86,6644,11111110111010101000,3.0,10900
86,10694,11111110111010101000,3.0,1100
89,163,11111111111101100000,3.0,2412
89,410,11111111111101100000,3.0,7035
89,491,11111111111101100000,3.0,2613
93,3603,11111111101001110000,3.0,2200
103,11035,11110111110010100000,3.0,14484
104,170,11111111111011100000,3.0,7884
105,3585,11110111110001110000,3.0,936
105,5613,11110111110001110000,3.0,416
145,5356,11110111111001110000,3.0,4416
145,5383,11110111111001110000,3.0,1440
145,5436,11110111111001110000,3.0,4152
145,7354,11110111111001110000,3.0,936
145,8902,11110111111001110000,3.0,1368
145,9136,11110111111001110000,3.0,1080
145,10891,11110111111001110000,3.0,1296
145,12772,11110111111001110000,3.0,1320
162,175,11111111111001110000,3.0,770
162,200,11111111111001110000,3.0,658
162,209,11111111111001110000,3.0,182
162,226,11111111111001110000,3.0,448
162,5544,11111111111001110000,3.0,252
162,7453,11111111111001110000,3.0,210
162,10869,11111111111001110000,3.0,252
163,410,11111111111101100000,3.0,3780
163,5517,11111111111101100000,3.0,5436
163,5996,11111111111101100000,3.0,540
163,10863,11111111111101100000,3.0,1080
174,3586,11111111110001110000,3.0,4268
174,3587,11111111110001110000,3.0,2904
174,3632,11111111110001110000,3.0,616
174,14259,11111111110001110000,3.0,484
174,14277,11111111110001110000,3.0,792
175,200,11111111111001110000,3.0,2585
175,8950,11111111111001110000,3.0,6930
175,10869,11111111111001110000,3.0,990
175,11119,11111111111001110000,3.0,3630
175,14278,11111111111001110000,3.0,4620
177,14325,11111111100011110000,3.0,512
178,5532,11111111101011110000,3.0,6336
179,10799,11111111111100001000,3.0,1952
184,3604,11111111111101110000,3.0,6848
184,10872,11111111111101110000,3.0,5243
184,10927,11111111111101110000,3.0,5885
186,5520,11111111111011100001,3.0,2373
186,5769,11111111111011100001,3.0,714
188,10875,11111111110101110000,3.0,319
208,8938,11110111111011110100,3.0,3515
208,12835,11110111111011110100,3.0,3996
208,14293,11110111111011110100,3.0,5217
209,226,11111111111001110000,3.0,416
209,3612,11111111111001110000,3.0,442
209,5447,11111111111001110000,3.0,4238
209,5501,11111111111001110000,3.0,416
209,5544,11111111111001110000,3.0,234
209,7472,11111111111001110000,3.0,260
217,2116,11111111111011100001,3.0,1431
218,12853,11111111111111101001,3.0,4680
226,5544,11111111111001110000,3.0,576
226,14239,11111111111001110000,3.0,2720
247,10941,11110111111100110000,3.0,884
410,5996,11111111111101100000,3.0,1575
413,5921,11111111111111110000,3.0,2325
491,5996,11111111111101100000,3.0,585
569,3782,11111111111111000000,3.0,396
569,5435,11111111111111000000,3.0,1111
653,5511,11111111111101101001,3.0,3000
655,11105,11110111111011100000,3.0,1989
734,1381,11111110111110101001,3.0,2128
734,11585,11111110111110101001,3.0,1624
735,6402,11110010111100100000,3.0,408
785,1793,11111110111100101001,3.0,44408
785,4217,11111110111100101001,3.0,10088
787,10778,11110110111100100000,3.0,3450
787,11536,11110110111100100000,3.0,1932
789,6294,11110010111100011000,3.0,2430
791,1241,11111110111110100000,3.0,10368
791,1297,11111110111110100000,3.0,2160
791,1466,11111110111110100000,3.0,15120
791,4733,11111110111110100000,3.0,48240
791,6569,11111110111110100000,3.0,54000
791,11642,11111110111110100000,3.0,25920
791,11804,11111110111110100000,3.0,25632
800,1365,11111110111010101000,3.0,74451
809,1268,11111110111100000000,3.0,3960
809,1646,11111110111100000000,3.0,5181
809,3266,11111110111100000000,3.0,11253
809,4751,11111110111100000000,3.0,4950
809,6092,11111110111100000000,3.0,363
809,11933,11111110111100000000,3.0,1815
809,12095,11111110111100000000,3.0,3762
839,899,11111110111110000000,3.0,407
839,4619,11111110111110000000,3.0,1177
839,5267,11111110111110000000,3.0,3685
839,6129,11111110111110000000,3.0,275
839,9614,11111110111110000000,3.0,3652
839,10775,11111110111110000000,3.0,484
839,11747,11111110111110000000,3.0,121
839,12069,11111110111110000000,3.0,132
840,12074,11111110111110000001,3.0,3145
842,12560,11111110111100100000,3.0,23912
854,953,11111110111100000000,3.0,15792
854,1379,11111110111100000000,3.0,4452
854,1475,11111110111100000000,3.0,3528
854,1646,11111110111100000000,3.0,13188
854,4634,11111110111100000000,3.0,39144
854,12095,11111110111100000000,3.0,9576
899,1538,11111110111110000000,3.0,9620
899,1601,11111110111110000000,3.0,5180
899,2918,11111110111110000000,3.0,4884
899,2921,11111110111110000000,3.0,2738
899,2942,11111110111110000000,3.0,3219
899,3707,11111110111110000000,3.0,3700
899,4490,11111110111110000000,3.0,2775
899,4865,11111110111110000000,3.0,4736
899,4877,11111110111110000000,3.0,9176
899,5111,11111110111110000000,3.0,8362
899,7055,11111110111110000000,3.0,6438
899,11747,11111110111110000000,3.0,407
946,1784,11110110111100100000,3.0,3652
946,5689,11110110111100100000,3.0,3905
947,1598,11111110111110000000,3.0,5934
947,1601,11111110111110000000,3.0,6440
947,1783,11111110111110000000,3.0,20378
947,1787,11111110111110000000,3.0,4508
947,2918,11111110111110000000,3.0,6072
947,2998,11111110111110000000,3.0,966
947,4970,11111110111110000000,3.0,9338
947,6129,11111110111110000000,3.0,1150
947,6941,11111110111110000000,3.0,23414
947,10289,11111110111110000000,3.0,4278
947,10775,11111110111110000000,3.0,2024
947,11747,11111110111110000000,3.0,506
950,6404,11111110111110101001,3.0,4875
950,6455,11111110111110101001,3.0,7000
950,11585,11111110111110101001,3.0,3625
953,1475,11111110111100000000,3.0,7896
953,1520,11111110111100000000,3.0,23876
953,1595,11111110111100000000,3.0,103776
953,1646,11111110111100000000,3.0,29516
953,2924,11111110111100000000,3.0,42864
953,4976,11111110111100000000,3.0,25568
953,5003,11111110111100000000,3.0,27824
953,5192,11111110111100000000,3.0,110544
953,7136,11111110111100000000,3.0,30832
953,8351,11111110111100000000,3.0,106220
953,11753,11111110111100000000,3.0,3008
953,12482,11111110111100000000,3.0,27824
971,1376,11111110111010101010,3.0,7568
1002,1464,11110010111100001000,3.0,702
1004,1220,11110110111110100000,3.0,6468
1004,6509,11110110111110100000,3.0,1155
1004,11533,11110110111110100000,3.0,2464
1016,1644,11111110111110001000,3.0,6993
1016,1690,11111110111110001000,3.0,3182
1016,12383,11111110111110001000,3.0,4847
1109,1296,11111110111100101000,3.0,264
1109,3269,11111110111100101000,3.0,16824
1109,11858,11111110111100101000,3.0,1824
1110,7140,11110010111100001000,3.0,5778
1216,6622,11111010111010100000,3.0,8619
1217,13448,11110110111110001001,3.0,3243
1220,2708,11110110111110100000,3.0,49224
1222,6566,11110010111100100000,3.0,77244
1222,12004,11110010111100100000,3.0,239604
1223,1297,11111110111110100000,3.0,3420
1223,1421,11111110111110100000,3.0,146148
1223,2734,11111110111110100000,3.0,91200
1223,2897,11111110111110100000,3.0,182400
1223,4676,11111110111110100000,3.0,19380
1223,4733,11111110111110100000,3.0,76380
1223,6191,11111110111110100000,3.0,38760
1223,6614,11111110111110100000,3.0,48336
1223,6974,11111110111110100000,3.0,64752
1223,7052,11111110111110100000,3.0,36936
1230,1321,11110010111111100000,3.0,178497
1230,1329,11110010111111100000,3.0,262548
1230,8035,11110010111111100000,3.0,453222
1232,1710,11111010111110100000,3.0,48160
1232,2716,11111010111110100000,3.0,114520
1239,2922,11110010111110001000,3.0,20251
1241,1247,11111110111110100000,3.0,12384
1241,1421,11111110111110100000,3.0,46152
1241,1706,11111110111110100000,3.0,6264
1241,1720,11111110111110100000,3.0,33696
1241,6695,11111110111110100000,3.0,34416
1241,11942,11111110111110100000,3.0,20520
1241,13418,11111110111110100000,3.0,7560
1244,1655,11111110111100001000,3.0,18522
1244,1760,11111110111100001000,3.0,24948
1244,2738,11111110111100001000,3.0,62370
1244,2951,11111110111100001000,3.0,17892
1244,3107,11111110111100001000,3.0,15876
1244,3191,11111110111100001000,3.0,24696
1244,4628,11111110111100001000,3.0,4410
1244,4730,11111110111100001000,3.0,13230
1244,4826,11111110111100001000,3.0,1890
1244,5135,11111110111100001000,3.0,33642
1244,6077,11111110111100001000,3.0,1764
1244,6605,11111110111100001000,3.0,58338
1244,6995,11111110111100001000,3.0,14994
1244,7079,11111110111100001000,3.0,44226
1244,7082,11111110111100001000,3.0,40446
1244,8129,11111110111100001000,3.0,9324
1244,13556,11111110111100001000,3.0,6552
1244,15311,11111110111100001000,3.0,15372
1244,15344,11111110111100001000,3.0,26964
1247,1421,11111110111110100000,3.0,110252
1247,1466,11111110111110100000,3.0,18060
1247,3461,11111110111110100000,3.0,24768
1247,4733,11111110111110100000,3.0,57620
1247,6569,11111110111110100000,3.0,64500
1247,6614,11111110111110100000,3.0,36464
1247,7052,11111110111110100000,3.0,27864
1249,2698,11111010111101100000,3.0,175260
1249,6586,11111010111101100000,3.0,98900
1249,6694,11111010111101100000,3.0,406180
1249,8134,11111010111101100000,3.0,1360220
1258,12022,11111010111110100100,3.0,584550
1259,1466,11111110111110100000,3.0,37170
1259,1820,11111110111110100000,3.0,217710
1259,2825,11111110111110100000,3.0,260898
1259,4733,11111110111110100000,3.0,118590
1259,6569,11111110111110100000,3.0,132750
1259,6695,11111110111110100000,3.0,169212
1259,12112,11111110111110100000,3.0,164964
