version,number_of_structures,param_index
0,18,0
0,62,1
0,19,10
0,14,100
0,101,1000
0,38,1001
0,34,1002
0,31,1003
0,25,1004
0,52,1005
0,22,1006
0,75,1007
0,2,1008
0,31,1009
0,18,101
0,32,1010
0,23,1011
0,30,1012
0,1,1013
0,45,1014
0,41,1015
0,17,1016
0,58,1017
0,103,1018
0,39,1019
0,67,102
0,15,1020
0,17,1021
0,4,1022
0,2,1023
0,50,1024
0,37,1025
0,37,1026
0,58,1027
0,130,1028
0,7,1029
0,69,103
0,144,1030
0,4,1031
0,64,1032
0,5,1033
0,35,1034
0,5,1035
0,79,1036
0,21,1037
0,8,1038
0,1,1039
0,26,104
0,11,1040
0,13,1041
0,17,1042
0,28,1043
0,25,1044
0,27,1045
0,92,1046
0,47,1047
0,39,1048
0,1,1049
0,23,105
0,31,1050
0,24,1051
0,40,1052
0,68,1053
0,38,1054
0,19,1055
0,26,1056
0,3,1057
0,57,1058
0,29,1059
0,33,106
0,56,1060
0,2,1061
0,22,1062
0,105,1063
0,52,1064
0,51,1065
0,10,1066
0,44,1067
0,38,1068
0,60,1069
0,8,107
0,9,1070
0,22,1071
0,23,1072
0,15,1073
0,9,1074
0,11,1075
0,69,1076
0,53,1077
0,19,1078
0,55,1079
0,33,108
0,74,1080
0,3,1081
0,149,1082
0,13,1083
0,46,1084
0,24,1085
0,63,1086
0,33,1087
0,95,1088
0,4,1089
0,8,109
0,37,1091
0,84,1092
0,25,1093
0,25,1094
0,90,1095
0,26,1096
0,51,1097
0,15,1098
0,44,1099
0,5,11
0,79,110
0,17,1100
0,53,1101
0,12,1102
0,27,1103
0,50,1104
0,5,1105
0,18,1106
0,22,1108
0,41,1109
0,65,111
0,3,1110
0,33,1111
0,9,1112
0,15,1113
0,62,1114
0,4,1115
0,19,1116
0,15,1117
0,19,1118
0,56,1119
0,39,112
0,24,1120
0,4,1121
0,67,1122
0,11,1123
0,108,1124
0,30,1125
0,54,1126
0,71,1127
0,148,1128
0,23,1129
0,4,113
0,37,1130
0,31,1131
0,4,1132
0,86,1133
0,134,1134
0,21,1135
0,11,1136
0,37,1137
0,20,1138
0,58,1139
0,35,114
0,6,1140
0,25,1141
0,22,1142
0,6,1143
0,19,1144
0,53,1145
0,34,1146
0,14,1147
0,44,1148
0,12,1149
0,11,115
0,68,1150
0,33,1151
0,45,1152
0,20,1153
0,43,1154
0,86,1155
0,21,1156
0,16,1157
0,64,1158
0,11,1159
0,1,116
0,67,1160
0,14,1161
0,80,1162
0,1,1163
0,22,1164
0,62,1165
0,100,1166
0,9,1167
0,51,1168
0,13,1169
0,3,117
0,33,1170
0,1,1171
0,55,1172
0,8,1173
0,44,1174
0,7,1175
0,38,1177
0,109,1178
0,25,1179
0,71,118
0,46,1180
0,21,1181
0,25,1182
0,86,1183
0,24,1184
0,19,1185
0,9,1186
0,8,1187
0,34,1188
0,18,1189
0,23,119
0,23,1190
0,26,1191
0,31,1192
0,26,1193
0,65,1194
0,102,1195
0,15,1196
0,2,1197
0,28,1198
0,54,12
0,9,120
0,17,1201
0,41,1202
0,10,1203
0,32,1204
0,51,1205
0,24,1206
0,25,1207
0,94,1208
0,58,1209
0,18,121
