Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
5,1644,11111110111110001000,6.0,34200
5,1770,11111110111110001000,6.0,72180
5,4266,11111110111110001000,6.0,204300
5,4769,11111110111110001000,6.0,171180
5,4850,11111110111110001000,6.0,99000
5,4925,11111110111110001000,6.0,137160
5,5190,11111110111110001000,6.0,116280
5,5191,11111110111110001000,6.0,176400
5,7001,11111110111110001000,6.0,257940
5,7163,11111110111110001000,6.0,401760
5,9510,11111110111110001000,6.0,136440
5,9524,11111110111110001000,6.0,77220
5,9560,11111110111110001000,6.0,387540
5,9668,11111110111110001000,6.0,272700
5,9836,11111110111110001000,6.0,88740
5,10044,11111110111110001000,6.0,172800
5,10613,11111110111110001000,6.0,71820
5,12293,11111110111110001000,6.0,140940
5,12515,11111110111110001000,6.0,156060
5,13772,11111110111110001000,6.0,64980
5,13877,11111110111110001000,6.0,30600
5,15353,11111110111110001000,6.0,58500
5,15548,11111110111110001000,6.0,35100
5,15553,11111110111110001000,6.0,195480
5,15821,11111110111110001000,6.0,25740
5,15878,11111110111110001000,6.0,64440
9,9217,11110111100011110000,6.0,27010
11,10151,11111111111001100001,6.0,20016
12,3535,11110111000011110000,6.0,36828
12,3796,11110111000011110000,6.0,5580
12,3940,11110111000011110000,6.0,5704
12,6021,11110111000011110000,6.0,115940
12,6039,11110111000011110000,6.0,101184
12,7701,11110111000011110000,6.0,34100
12,7801,11110111000011110000,6.0,29140
12,7968,11110111000011110000,6.0,5084
12,8800,11110111000011110000,6.0,42656
12,8862,11110111000011110000,6.0,103540
12,9055,11110111000011110000,6.0,42780
12,9169,11110111000011110000,6.0,39680
12,11224,11110111000011110000,6.0,47616
12,11230,11110111000011110000,6.0,28644
12,11286,11110111000011110000,6.0,61380
12,11290,11110111000011110000,6.0,11284
12,11296,11110111000011110000,6.0,53692
12,11308,11110111000011110000,6.0,87048
12,11313,11110111000011110000,6.0,10168
12,11337,11110111000011110000,6.0,26908
12,11367,11110111000011110000,6.0,48732
12,11371,11110111000011110000,6.0,23188
12,11385,11110111000011110000,6.0,79608
12,13141,11110111000011110000,6.0,11904
12,13147,11110111000011110000,6.0,9300
12,14219,11110111000011110000,6.0,40424
12,14226,11110111000011110000,6.0,51460
12,14424,11110111000011110000,6.0,5084
12,14778,11110111000011110000,6.0,23932
12,14899,11110111000011110000,6.0,8804
13,8906,11111111100001110000,6.0,14625
