Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
12,417,11110111000011110000,2.0,66034
12,579,11110111000011110000,2.0,226735
12,660,11110111000011110000,2.0,120423
12,5601,11110111000011110000,2.0,20276
15,1968,11110111000011110000,2.0,598689
25,259,11110111000001110000,2.0,750915
25,502,11110111000001110000,2.0,2295480
25,508,11110111000001110000,2.0,461760
25,2050,11110111000001110000,2.0,1298145
25,2455,11110111000001110000,2.0,1638360
25,3409,11110111000001110000,2.0,287490
25,3426,11110111000001110000,2.0,627705
25,3508,11110111000001110000,2.0,1211010
25,3913,11110111000001110000,2.0,1005105
25,7315,11110111000001110000,2.0,367410
29,10802,11111101011001100001,2.0,15470
30,50,11110001000000000000,2.0,2431
30,354,11110001000000000000,2.0,182
30,3675,11110001000000000000,2.0,143
30,5394,11110001000000000000,2.0,637
37,14131,11110111111001110001,2.0,1285863
48,53,11110001000001000000,2.0,4500
48,318,11110001000001000000,2.0,17928
50,1993,11110001000000000000,2.0,22253
50,5394,11110001000000000000,2.0,9163
50,5399,11110001000000000000,2.0,34595
51,10740,11110101000000000000,2.0,780
51,10986,11110101000000000000,2.0,1781
51,12687,11110101000000000000,2.0,1222
55,379,11110111001011110000,2.0,708768
76,11011,11110101000001110000,2.0,522900
80,404,10100001001001100000,2.0,41580
86,1304,11111110111010101000,2.0,435326
87,108,11110111011011010000,2.0,370888
97,105,11110111110001110000,2.0,792948
97,3580,11110111110001110000,2.0,1508988
109,3510,11110111011111100001,2.0,1995012
126,618,11110011010011110000,2.0,4813200
128,5465,11110101111011110001,2.0,2551362
129,12765,11111101000000100000,2.0,323
130,2077,11110101000000000000,2.0,312
131,5480,11111101000000000000,2.0,8816
131,7421,11111101000000000000,2.0,5168
131,10821,11111101000000000000,2.0,2204
131,10822,11111101000000000000,2.0,2888
131,10826,11111101000000000000,2.0,4408
134,214,11111101000000000000,2.0,434
134,242,11111101000000000000,2.0,224
134,2075,11111101000000000000,2.0,350
134,5478,11111101000000000000,2.0,448
134,5479,11111101000000000000,2.0,224
134,10824,11111101000000000000,2.0,546
134,10825,11111101000000000000,2.0,434
134,12770,11111101000000000000,2.0,616
136,146,11110111011101110000,2.0,2939532
136,1999,11110111011101110000,2.0,3079869
136,3511,11110111011101110000,2.0,1809291
137,2080,11110111011001110000,2.0,2891217
145,5482,11110111111001110000,2.0,4541832
145,5492,11110111111001110000,2.0,4938120
145,10756,11110111111001110000,2.0,1523232
146,12782,11110111011101110000,2.0,2978492
156,160,11111101000001100000,2.0,100276
156,161,11111101000001100000,2.0,63855
156,238,11111101000001100000,2.0,197241
157,159,11110101000001100000,2.0,123261
157,5422,11110101000001100000,2.0,591789
157,10768,11110101000001100000,2.0,465804
157,11092,11110101000001100000,2.0,971787
159,213,11110101000001100000,2.0,3982
160,238,11111101000001100000,2.0,88404
160,10933,11111101000001100000,2.0,15264
161,11528,11111101000001100000,2.0,13365
175,226,11111111111001110000,2.0,398682
180,188,11111111110101110000,2.0,121296
180,10875,11111111110101110000,2.0,147744
185,5530,11111111111001100000,2.0,157325
188,2114,11111111110101110000,2.0,181412
200,226,11111111111001110000,2.0,951372
200,5544,11111111111001110000,2.0,659526
214,242,11111101000000000000,2.0,496
214,5479,11111101000000000000,2.0,496
214,10744,11111101000000000000,2.0,3379
214,10825,11111101000000000000,2.0,961
214,10903,11111101000000000000,2.0,930
214,12850,11111101000000000000,2.0,1116
215,890,11111001000000000000,2.0,1020
215,2078,11111001000000000000,2.0,578
215,5559,11111001000000000000,2.0,476
215,5588,11111001000000000000,2.0,680
215,12851,11111001000000000000,2.0,527
234,2124,11111111010101110000,2.0,529934
238,10933,11111101000001100000,2.0,30024
246,490,11110111001101110000,2.0,280704
246,5835,11110111001101110000,2.0,740384
249,268,11110111000001100000,2.0,539756
257,497,11111101000011110000,2.0,38367
258,336,11110111000001110000,2.0,493038
258,340,11110111000001110000,2.0,1594656
258,495,11110111000001110000,2.0,760284
258,498,11110111000001110000,2.0,1136016
258,502,11110111000001110000,2.0,3647952
259,418,11110111000001110000,2.0,595320
259,499,11110111000001110000,2.0,1554597
259,583,11110111000001110000,2.0,7442853
259,3652,11110111000001110000,2.0,741444
264,489,11110111000011110100,2.0,231344
273,372,11110001000000000000,2.0,1518
273,453,11110001000000000000,2.0,638
273,2379,11110001000000000000,2.0,330
273,3693,11110001000000000000,2.0,440
288,292,10100001000000000000,2.0,1296
288,296,10100001000000000000,2.0,9552
288,2205,10100001000000000000,2.0,528
288,2233,10100001000000000000,2.0,3072
288,2234,10100001000000000000,2.0,14928
288,2235,10100001000000000000,2.0,2544
288,2238,10100001000000000000,2.0,528
288,2313,10100001000000000000,2.0,2112
288,5796,10100001000000000000,2.0,5232
288,9036,10100001000000000000,2.0,2064
289,291,10100001000000000000,2.0,1716
289,296,10100001000000000000,2.0,10348
289,373,10100001000000000000,2.0,3588
289,450,10100001000000000000,2.0,1144
289,457,10100001000000000000,2.0,1716
289,2232,10100001000000000000,2.0,1976
289,2234,10100001000000000000,2.0,16172
289,2236,10100001000000000000,2.0,4472
289,2239,10100001000000000000,2.0,2704
289,2314,10100001000000000000,2.0,3016
289,5634,10100001000000000000,2.0,624
289,5641,10100001000000000000,2.0,6604
290,374,10100001000001000000,2.0,76700
290,377,10100001000001000000,2.0,75048
290,455,10100001000001000000,2.0,53100
290,2396,10100001000001000000,2.0,56640
290,3695,10100001000001000000,2.0,49324
290,5798,10100001000001000000,2.0,56640
290,9038,10100001000001000000,2.0,128384
291,296,10100001000000000000,2.0,6567
291,373,10100001000000000000,2.0,2277
291,450,10100001000000000000,2.0,726
291,2232,10100001000000000000,2.0,1254
291,2236,10100001000000000000,2.0,2838
291,2237,10100001000000000000,2.0,11616
291,2238,10100001000000000000,2.0,363
291,5634,10100001000000000000,2.0,396
292,296,10100001000000000000,2.0,5373
292,457,10100001000000000000,2.0,891
292,2209,10100001000000000000,2.0,1161
292,2233,10100001000000000000,2.0,1728
292,2235,10100001000000000000,2.0,1431
292,2237,10100001000000000000,2.0,9504
292,2239,10100001000000000000,2.0,1404
292,2317,10100001000000000000,2.0,1917
292,5641,10100001000000000000,2.0,3429
292,9040,10100001000000000000,2.0,7425
293,371,10100001000001000000,2.0,91793
293,377,10100001000001000000,2.0,95082
293,2318,10100001000001000000,2.0,102557
293,2480,10100001000001000000,2.0,52923
293,3692,10100001000001000000,2.0,61594
293,3776,10100001000001000000,2.0,78637
293,5636,10100001000001000000,2.0,135148
293,5720,10100001000001000000,2.0,164151
293,7583,10100001000001000000,2.0,160862
293,9041,10100001000001000000,2.0,212589
296,457,10100001000000000000,2.0,6567
296,2234,10100001000000000000,2.0,61889
296,2237,10100001000000000000,2.0,70048
296,2238,10100001000000000000,2.0,2189
296,2239,10100001000000000000,2.0,10348
296,2267,10100001000000000000,2.0,20298
296,2402,10100001000000000000,2.0,30248
296,3779,10100001000000000000,2.0,42387
296,5641,10100001000000000000,2.0,25273
296,5804,10100001000000000000,2.0,38606
296,7586,10100001000000000000,2.0,100694
319,323,10100001000001100000,2.0,183732
319,484,10100001000001100000,2.0,152256
322,483,10100001001001000000,2.0,34342
