Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
8,2125,11111111110101110001,5.0,1400
11,15485,11111111111001100001,5.0,1050
186,8984,11111111111011100001,5.0,901
187,14328,11111111110011100001,5.0,924
189,665,11110111011011110001,5.0,1965
189,6038,11110111011011110001,5.0,525
189,8786,11110111011011110001,5.0,1710
189,11265,11110111011011110001,5.0,480
189,12754,11110111011011110001,5.0,3255
189,14141,11110111011011110001,5.0,780
217,5520,11111111111011100001,5.0,1219
217,5769,11111111111011100001,5.0,1219
217,8894,11111111111011100001,5.0,4505
218,8960,11111111111111101001,5.0,1020
248,5440,11111110111111000001,5.0,1404
653,5284,11111111111101101001,5.0,1645
656,5518,11111111111101110001,5.0,4212
734,4430,11111110111110101001,5.0,4710
734,4436,11111110111110101001,5.0,1740
734,5132,11111110111110101001,5.0,1920
734,9620,11111110111110101001,5.0,3000
734,9941,11111110111110101001,5.0,3180
734,12394,11111110111110101001,5.0,2250
734,15371,11111110111110101001,5.0,930
785,1637,11111110111100101001,5.0,592
785,3701,11111110111100101001,5.0,851
785,3788,11111110111100101001,5.0,2331
785,5114,11111110111100101001,5.0,740
785,5194,11111110111100101001,5.0,1739
785,8372,11111110111100101001,5.0,8991
785,8606,11111110111100101001,5.0,5254
785,9617,11111110111100101001,5.0,3404
785,12422,11111110111100101001,5.0,1147
785,13943,11111110111100101001,5.0,1887
785,15122,11111110111100101001,5.0,4699
840,1571,11111110111110000001,5.0,1417
840,2705,11111110111110000001,5.0,624
840,2813,11111110111110000001,5.0,221
840,5082,11111110111110000001,5.0,442
840,8024,11111110111110000001,5.0,793
843,13506,11110110111100101001,5.0,1105
950,1730,11111110111110101001,5.0,9271
950,9941,11111110111110101001,5.0,7738
950,10349,11111110111110101001,5.0,13140
950,13934,11111110111110101001,5.0,3504
962,4625,11111110111110100001,5.0,405
962,6188,11111110111110100001,5.0,2538
962,7130,11111110111110100001,5.0,2835
962,11476,11111110111110100001,5.0,513
962,11479,11111110111110100001,5.0,2052
962,12232,11111110111110100001,5.0,2214
962,12317,11111110111110100001,5.0,2187
962,13517,11111110111110100001,5.0,1431
1112,4328,11111110111110101001,5.0,2964
1112,4430,11111110111110101001,5.0,8949
1112,4436,11111110111110101001,5.0,3306
1112,5132,11111110111110101001,5.0,3648
1112,9893,11111110111110101001,5.0,3705
1112,9940,11111110111110101001,5.0,3363
1112,12394,11111110111110101001,5.0,4275
1112,15068,11111110111110101001,5.0,3306
1187,1463,11111110111100001001,5.0,928
1187,1652,11111110111100001001,5.0,1248
1187,4493,11111110111100001001,5.0,576
1187,4538,11111110111100001001,5.0,3312
1187,4841,11111110111100001001,5.0,656
1187,5522,11111110111100001001,5.0,480
1187,11477,11111110111100001001,5.0,512
1187,12347,11111110111100001001,5.0,288
1187,12374,11111110111100001001,5.0,240
1187,12428,11111110111100001001,5.0,320
1187,14978,11111110111100001001,5.0,336
1187,15128,11111110111100001001,5.0,880
1294,2705,11111110111110000001,5.0,528
1294,2813,11111110111110000001,5.0,187
1294,4502,11111110111110000001,5.0,231
1294,4895,11111110111110000001,5.0,814
1294,5082,11111110111110000001,5.0,374
1294,5162,11111110111110000001,5.0,506
1294,12158,11111110111110000001,5.0,308
1294,13366,11111110111110000001,5.0,176
1355,3950,11111110111110000011,5.0,1196
1355,4862,11111110111110000011,5.0,644
1355,13587,11111110111110000011,5.0,1081
1355,15536,11111110111110000011,5.0,667
1381,1730,11111110111110101001,5.0,2921
1381,6404,11111110111110101001,5.0,805
1381,8673,11111110111110101001,5.0,391
1381,9940,11111110111110101001,5.0,1357
1381,13589,11111110111110101001,5.0,2461
1381,14965,11111110111110101001,5.0,598
1432,12054,11111010111100001001,5.0,2144
1434,2977,11111010111100001001,5.0,1825
1434,7223,11111010111100001001,5.0,2325
1439,1793,11111110111100101001,5.0,4970
1439,3701,11111110111100101001,5.0,805
1439,8088,11111110111100101001,5.0,1680
1439,12422,11111110111100101001,5.0,1085
1439,15122,11111110111100101001,5.0,4445
1449,5511,11111111111101101001,5.0,1222
1449,14283,11111111111101101001,5.0,2538
1449,14311,11111111111101101001,5.0,4183
1463,3383,11111110111100001001,5.0,3886
1463,4841,11111110111100001001,5.0,2378
1463,5522,11111110111100001001,5.0,1740
1463,6791,11111110111100001001,5.0,1856
1463,8183,11111110111100001001,5.0,870
1463,8405,11111110111100001001,5.0,7308
1463,8618,11111110111100001001,5.0,11310
1463,11477,11111110111100001001,5.0,1856
1463,13529,11111110111100001001,5.0,638
1463,15715,11111110111100001001,5.0,2030
1463,15908,11111110111100001001,5.0,2958
1532,5207,11111111111100001001,5.0,1813
1571,3786,11111110111110000001,5.0,8502
1571,4595,11111110111110000001,5.0,8720
1571,5082,11111110111110000001,5.0,3706
1571,8024,11111110111110000001,5.0,6649
1571,8102,11111110111110000001,5.0,2616
1571,10592,11111110111110000001,5.0,12753
1571,13610,11111110111110000001,5.0,7521
1637,2896,11111110111100101001,5.0,2432
1637,3788,11111110111100101001,5.0,1008
1637,4382,11111110111100101001,5.0,1392
1637,5194,11111110111100101001,5.0,752
1637,10429,11111110111100101001,5.0,1776
1637,10460,11111110111100101001,5.0,704
1637,11588,11111110111100101001,5.0,720
1637,13943,11111110111100101001,5.0,816
1637,14033,11111110111100101001,5.0,336
1652,5522,11111110111100001001,5.0,2340
1652,6623,11111110111100001001,5.0,2496
1652,8078,11111110111100001001,5.0,3120
1652,8183,11111110111100001001,5.0,1170
1652,8405,11111110111100001001,5.0,9828
1652,8510,11111110111100001001,5.0,4056
