Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
12,417,11110111000011110000,2.0,119733858
12,579,11110111000011110000,2.0,177532542
12,660,11110111000011110000,2.0,144664974
12,5601,11110111000011110000,2.0,166455162
15,1968,11110111000011110000,2.0,202555024
25,259,11110111000001110000,2.0,303862514
25,502,11110111000001110000,2.0,301017788
25,508,11110111000001110000,2.0,273175441
25,2050,11110111000001110000,2.0,136138123
25,2455,11110111000001110000,2.0,281922156
25,3409,11110111000001110000,2.0,161250187
25,3426,11110111000001110000,2.0,245611027
25,3508,11110111000001110000,2.0,304565521
25,3913,11110111000001110000,2.0,219174694
25,7315,11110111000001110000,2.0,268450580
29,10802,11111101011001100001,2.0,19755810
30,50,11110001000000000000,2.0,178657812
30,354,11110001000000000000,2.0,214253703
30,3675,11110001000000000000,2.0,187024215
30,5394,11110001000000000000,2.0,186821898
31,43,11111100000000000000,2.0,135598662
31,113,11111100000000000000,2.0,36077631
31,115,11111100000000000000,2.0,54971385
31,139,11111100000000000000,2.0,54553587
31,194,11111100000000000000,2.0,33439314
31,196,11111100000000000000,2.0,37029282
31,355,11111100000000000000,2.0,101749287
31,2056,11111100000000000000,2.0,23079471
31,3676,11111100000000000000,2.0,81230763
31,5380,11111100000000000000,2.0,69795477
31,5458,11111100000000000000,2.0,50437503
31,7321,11111100000000000000,2.0,58832148
31,10726,11111100000000000000,2.0,40975152
31,10732,11111100000000000000,2.0,77880642
31,10750,11111100000000000000,2.0,42746925
31,10804,11111100000000000000,2.0,31234269
31,10966,11111100000000000000,2.0,60603921
32,40,11111000000000000000,2.0,136964265
32,111,11111000000000000000,2.0,59171250
32,192,11111000000000000000,2.0,58026000
32,193,11111000000000000000,2.0,36166995
32,221,11111000000000000000,2.0,31906665
32,278,11111000000000000000,2.0,80045340
32,356,11111000000000000000,2.0,93788340
32,545,11111000000000000000,2.0,63904950
32,1975,11111000000000000000,2.0,53299935
32,1979,11111000000000000000,2.0,61874040
32,2462,11111000000000000000,2.0,75777375
32,3677,11111000000000000000,2.0,75846090
32,3920,11111000000000000000,2.0,48619680
32,5376,11111000000000000000,2.0,84977550
32,5381,11111000000000000000,2.0,58461195
32,10722,11111000000000000000,2.0,45901620
32,10733,11111000000000000000,2.0,46275735
32,10751,11111000000000000000,2.0,22584330
32,10967,11111000000000000000,2.0,47268285
32,12668,11111000000000000000,2.0,21301650
33,39,11110000000000000000,2.0,192694320
33,57,11110000000000000000,2.0,118449240
33,204,11110000000000000000,2.0,102560640
33,438,11110000000000000000,2.0,91891800
33,1974,11110000000000000000,2.0,127480080
33,1986,11110000000000000000,2.0,192672480
33,2058,11110000000000000000,2.0,88768680
33,2139,11110000000000000000,2.0,74922120
33,3678,11110000000000000000,2.0,132546960
33,5397,11110000000000000000,2.0,153153000
33,10968,11110000000000000000,2.0,81648840
34,58,11111100000000000000,2.0,73580727
34,112,11111100000000000000,2.0,44882013
34,114,11111100000000000000,2.0,73886384
34,116,11111100000000000000,2.0,53894764
34,124,11111100000000000000,2.0,119544931
34,133,11111100000000000000,2.0,118462740
34,142,11111100000000000000,2.0,89871419
34,197,11111100000000000000,2.0,36067526
34,205,11111100000000000000,2.0,96851964
34,223,11111100000000000000,2.0,68029335
34,358,11111100000000000000,2.0,100379411
34,2059,11111100000000000000,2.0,47277703
34,2140,11111100000000000000,2.0,41610657
34,5377,11111100000000000000,2.0,70821553
34,5461,11111100000000000000,2.0,70540679
34,5542,11111100000000000000,2.0,44146784
34,5623,11111100000000000000,2.0,92663637
34,7324,11111100000000000000,2.0,75150317
34,10723,11111100000000000000,2.0,39132357
34,10725,11111100000000000000,2.0,47145527
34,10727,11111100000000000000,2.0,28806107
34,10735,11111100000000000000,2.0,86773544
34,10753,11111100000000000000,2.0,39495841
34,10807,11111100000000000000,2.0,45262019
34,10888,11111100000000000000,2.0,23477762
34,10969,11111100000000000000,2.0,55703923
34,12670,11111100000000000000,2.0,40924994
35,59,11111000000000000000,2.0,47226900
35,61,11111000000000000000,2.0,72825135
35,195,11111000000000000000,2.0,47642685
35,224,11111000000000000000,2.0,45548070
35,275,11111000000000000000,2.0,94281210
35,359,11111000000000000000,2.0,85871370
35,440,11111000000000000000,2.0,52114335
35,1976,11111000000000000000,2.0,55989765
35,2060,11111000000000000000,2.0,46622835
35,2222,11111000000000000000,2.0,88005210
35,5378,11111000000000000000,2.0,59441565
35,5543,11111000000000000000,2.0,34455240
35,5624,11111000000000000000,2.0,73162470
35,10724,11111000000000000000,2.0,27661470
35,10736,11111000000000000000,2.0,50615940
35,10754,11111000000000000000,2.0,23840955
35,10970,11111000000000000000,2.0,38471880
35,12671,11111000000000000000,2.0,27606555
37,14131,11110111111001110001,2.0,100540443
39,57,11110000000000000000,2.0,191406162
39,204,11110000000000000000,2.0,165731232
39,1974,11110000000000000000,2.0,205999404
39,1984,11110000000000000000,2.0,330668394
39,1986,11110000000000000000,2.0,311346024
39,1992,11110000000000000000,2.0,291282522
39,10974,11110000000000000000,2.0,254825886
39,12675,11110000000000000000,2.0,146126526
40,193,11111000000000000000,2.0,84977043
40,201,11111000000000000000,2.0,212343943
40,1254,11111000000000000000,2.0,280996496
40,1264,11111000000000000000,2.0,235018839
40,1336,11111000000000000000,2.0,200037789
40,1975,11111000000000000000,2.0,125232159
40,2713,11111000000000000000,2.0,300388555
40,5389,11111000000000000000,2.0,262824289
40,5413,11111000000000000000,2.0,211249664
40,5548,11111000000000000000,2.0,208917594
40,6601,11111000000000000000,2.0,292046920
40,10731,11111000000000000000,2.0,172483485
40,10733,11111000000000000000,2.0,108728279
40,10894,11111000000000000000,2.0,118128315
40,10975,11111000000000000000,2.0,265838041
40,11947,11111000000000000000,2.0,188126293
40,12676,11111000000000000000,2.0,157540298
41,71,10101000000000000000,2.0,105660795
41,281,10101000000000000000,2.0,113065032
41,287,10101000000000000000,2.0,182748357
41,311,10101000000000000000,2.0,129040011
41,365,10101000000000000000,2.0,185584806
41,446,10101000000000000000,2.0,120653454
41,1958,10101000000000000000,2.0,91061064
41,1988,10101000000000000000,2.0,174533706
41,2012,10101000000000000000,2.0,122237445
41,2228,10101000000000000000,2.0,206876592
41,2471,10101000000000000000,2.0,197151624
41,3686,10101000000000000000,2.0,180341673
41,5390,10101000000000000000,2.0,123624972
41,5414,10101000000000000000,2.0,76731471
41,7331,10101000000000000000,2.0,132760548
43,115,11111100000000000000,2.0,124522230
43,125,11111100000000000000,2.0,196256148
43,133,11111100000000000000,2.0,251322840
43,151,11111100000000000000,2.0,242997990
43,196,11111100000000000000,2.0,83879436
43,2068,11111100000000000000,2.0,221108016
43,5380,11111100000000000000,2.0,158102046
43,5470,11111100000000000000,2.0,262434324
43,10726,11111100000000000000,2.0,92817696
43,10732,11111100000000000000,2.0,176416716
43,10734,11111100000000000000,2.0,158715456
43,10816,11111100000000000000,2.0,177240438
43,10897,11111100000000000000,2.0,121087134
43,10978,11111100000000000000,2.0,236951520
43,12679,11111100000000000000,2.0,174208440
44,62,10101000000000000000,2.0,93261680
44,68,10101000000000000000,2.0,112174980
44,69,10101000000000000000,2.0,134831400
44,70,10101000000000000000,2.0,162417140
