Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
37,14131,11110111111001110001,2.0,3564
86,1304,11111110111010101000,2.0,80600
97,105,11110111110001110000,2.0,494
97,3580,11110111110001110000,2.0,3648
128,5465,11110101111011110001,2.0,1152
145,5482,11110111111001110000,2.0,624
145,5492,11110111111001110000,2.0,648
145,10756,11110111111001110000,2.0,504
175,226,11111111111001110000,2.0,1760
180,188,11111111110101110000,2.0,132
180,10875,11111111110101110000,2.0,348
185,5530,11111111111001100000,2.0,11685
188,2114,11111111110101110000,2.0,165
200,226,11111111111001110000,2.0,1504
200,5544,11111111111001110000,2.0,846
410,491,11111111111101100000,2.0,4095
652,11347,11110111111011101000,2.0,3108
734,950,11111110111110101001,2.0,7000
734,1112,11111110111110101001,2.0,4536
734,6404,11111110111110101001,2.0,2184
735,1222,11110010111100100000,2.0,11808
784,1109,11111110111100101000,2.0,816
784,1296,11111110111100101000,2.0,374
784,11482,11111110111100101000,2.0,2380
786,1785,11110010111010001000,2.0,4400
787,946,11110110111100100000,2.0,759
787,6187,11110110111100100000,2.0,5589
791,1223,11111110111110100000,2.0,32832
791,6191,11111110111110100000,2.0,24480
800,1304,11111110111010101000,2.0,66898
800,6137,11111110111010101000,2.0,34196
809,854,11111110111100000000,2.0,2772
809,953,11111110111100000000,2.0,6204
839,947,11111110111110000000,2.0,506
839,1382,11111110111110000000,2.0,847
839,1406,11111110111110000000,2.0,682
839,4781,11111110111110000000,2.0,1463
842,6134,11111110111100100000,2.0,35258
844,11537,11110110111010101000,2.0,4988
854,6092,11111110111100000000,2.0,924
896,11696,11110110111100001000,2.0,1908
899,947,11111110111110000000,2.0,1702
945,6292,11110110111010111000,2.0,3498
947,1568,11111110111110000000,2.0,7268
947,2999,11111110111110000000,2.0,3588
953,4949,11111110111100000000,2.0,76892
1002,1110,11110010111100001000,2.0,234
1004,11699,11110110111110100000,2.0,6853
1016,6200,11111110111110001000,2.0,1295
1110,1794,11110010111100001000,2.0,2700
1112,6404,11111110111110101001,2.0,3159
1112,6455,11111110111110101001,2.0,4536
1115,6299,11111010111100011000,2.0,15488
1169,1889,11111110111110001010,2.0,15652
1221,11994,11111010111111100000,2.0,63664
1222,6577,11110010111100100000,2.0,289788
1223,1247,11111110111110100000,2.0,39216
1223,1259,11111110111110100000,2.0,80712
1223,1706,11111110111110100000,2.0,19836
1223,2690,11111110111110100000,2.0,97128
1223,11942,11111110111110100000,2.0,64980
1230,2689,11110010111111100000,2.0,310959
1232,2699,11111010111110100000,2.0,27720
1240,2697,11110010111101100000,2.0,44064
1240,11923,11110010111101100000,2.0,54672
1241,1259,11111110111110100000,2.0,25488
1241,1466,11111110111110100000,2.0,7560
1241,2690,11111110111110100000,2.0,30672
1241,6569,11111110111110100000,2.0,27000
1241,6614,11111110111110100000,2.0,15264
1244,1733,11111110111100001000,2.0,24192
1244,2783,11111110111100001000,2.0,4914
1244,6671,11111110111100001000,2.0,17640
1244,8048,11111110111100001000,2.0,20538
