k_hot_code,Frequency
11111100000000000000,596778
11111000000000000000,158766
10100000000000000000,101025
10101000000000000000,85078
11110100000000000000,48516
11111110111100000000,39340
11111110111110000000,39060
11110000000000000000,26106
11111010111110000000,17766
11111010111100000000,11781
11111110111100001000,10731
11110111000001110000,9316
11111010000000000000,8128
10100001000000000000,7750
11110111000011110000,7626
11111110111100100000,6216
11110101000001100000,6216
01010000000000000000,5671
11111010111100001000,5356
11111110111110100000,5253
11111110111110000010,4560
11111110111110001000,4465
11111010111110001000,3321
11111110111010001000,3160
01010100000000000000,2628
11101000000000000000,2485
11111101000000000000,2346
11111110111100000010,2278
11110101000001000000,2080
11111110000000000000,2016
11110101000000000000,1891
11111101000001100000,1891
11110111010001110000,1891
11111010111110000010,1830
11110111011001110000,1711
11111010111010001000,1653
11111010000010000000,1540
11111110111100001001,1485
11111110111110001100,1378
11111111000001110000,1326
11110111010011110000,1275
10100001000001000000,1225
11110101000001110000,1176
11111010111110100000,946
11110101000011110000,946
11100000000000000000,903
11110011000011110000,903
11111010111100100000,861
11111110111100101000,861
11111110111110101000,820
11111010111100000010,820
11111110111010001010,780
11110111111001110000,780
11110001000000000000,741
11110101000000100000,741
11111010000100000000,741
11111111000011110000,741
11111010111010001010,703
11111010111110001100,703
11111111111100001000,666
11111101000001000000,666
11111010111100101000,595
10111000000000000000,561
11111110111110101100,561
11110010111110000000,528
11111110111100101001,496
11110111011011110000,496
11110111000011110100,496
10101001000000000000,465
11111110111110000001,465
11111110111010101000,435
11111110111110101001,406
11111001000000000000,406
11111110111100100010,406
11111110111010000000,378
11111010000110000000,378
11110111111101110000,378
11110111000101110000,351
10110000000000000000,351
11110111111011110000,351
10100001000001100000,351
11111101000001110000,325
11111110000100000000,325
11111110111101100000,325
11111111011001110000,300
11111110111010000010,300
11110111000001100000,300
11111101000000100000,300
11110111001001110000,276
11110011000001110000,276
11101010000000000000,253
11111111111001110000,253
11111010011100000000,253
11111110111110100010,253
11111110111110001010,231
11110111011101110000,231
11110100000000100000,231
11110010000000000000,231
11111110011100000000,231
11110101000000100100,231
11111110111110001001,231
11111110111110000011,210
11110101000001100100,210
01110000000000000000,210
11111111111101100000,210
11111111111100000000,210
11111111111110000000,210
11110110000000000000,190
11110101000000110000,190
11111111111111100000,190
11111010111110101100,190
01010010000000000000,190
11111110111111000000,171
11100001000000000000,171
11110010111100000000,171
11110111000011100000,171
11110110111100100000,171
11111010111010000010,171
11111110111010111000,153
11111111111100101000,153
11111011111100001000,153
11111111111111000000,136
11111010111110100010,136
11111110111101000000,136
11110110000100000000,136
11111110111100110000,136
11110010111100001000,120
11111101000011110000,120
11110101000011100000,120
11111110111110100001,120
11111010111101100000,120
11110111000111110100,120
11111110000010000000,120
11111100110000000000,120
11111111111101000000,120
11111010111010000000,120
11111010111100110000,105
11110110111110100000,105
11110110111110000000,105
11111110111111100000,105
11111110111110100100,91
11110101000011110100,91
11111111111101110000,91
11111111000011110100,91
11010100000000000000,91
11110111000101100000,91
11100011000011110000,91
11111100100000000000,91
11111010111110101000,91
11111100000000100000,91
11111111111110100000,78
11111111111011110000,78
11111010011110000000,78
11110111110001110000,78
11110001000001000000,78
11111110111100111000,78
11111110011110000000,78
11100011000001110000,78
11110011000101110000,78
11111110111111000010,78
11110111010101110000,66
11110010111110001000,66
11110111011011110100,66
11111111010001110000,66
11111111010011110000,66
10101001000001000000,66
11111111111101101001,66
11110111001101110000,66
11111110111101000010,66
11111111110001110000,66
11111010011100001000,66
11111110111010101010,66
11111010111111000000,66
11110111011101100000,55
11110111001111100000,55
11110111111011111000,55
11111010001100000000,55
11110111011111100000,55
11110111011111110100,55
11110111001011110000,55
11110111000000110100,55
11111110111110000100,55
