version,number_of_structures,param_index
0,200,0
0,157,1
0,67,10
0,39,100
0,165,1000
0,82,1001
0,336,1002
0,325,1003
0,1,1004
0,137,1005
0,41,1007
0,314,1008
0,392,1009
0,34,101
0,232,1010
0,426,1011
0,205,1012
0,648,1013
0,224,1014
0,117,1015
0,56,1016
0,204,1017
0,1,1018
0,118,1019
0,751,102
0,30,1020
0,73,1021
0,714,1022
0,219,1023
0,114,1024
0,72,1025
0,168,1026
0,5,1028
0,170,1029
0,579,103
0,1,1030
0,26,1031
0,291,1032
0,213,1033
0,171,1034
0,144,1035
0,146,1036
0,379,1037
0,85,1038
0,672,1039
0,139,104
0,816,1040
0,102,1041
0,68,1042
0,230,1043
0,3,1044
0,195,1045
0,105,1046
0,70,1047
0,157,1048
0,18,1049
0,9,105
0,280,1050
0,512,1051
0,385,1052
0,118,1053
0,269,1054
0,54,1055
0,358,1056
0,105,1057
0,80,1058
0,63,1059
0,7,106
0,3,1060
0,27,1061
0,58,1062
0,397,1063
0,316,1064
0,246,1065
0,746,1066
0,119,1067
0,216,1068
0,120,1069
0,17,107
0,123,1070
0,227,1071
0,8,1072
0,71,1073
0,50,1074
0,34,1075
0,170,1076
0,289,1077
0,293,1078
0,1,1079
0,84,1081
0,55,1082
0,13,1083
0,3,1084
0,226,1085
0,299,1086
0,496,1087
0,9,1088
0,251,1089
0,187,109
0,295,1090
0,2,1091
0,372,1092
0,116,1093
0,426,1094
0,256,1096
0,1,1097
0,105,1098
0,103,1099
0,203,11
0,73,110
0,447,1100
0,159,1101
0,874,1102
0,363,1103
0,325,1104
0,360,1105
0,77,1106
0,98,1107
0,178,1108
0,250,1109
0,117,111
0,58,1110
0,101,1111
0,691,1112
0,105,1113
0,259,1114
0,231,1115
0,202,1116
0,447,1117
0,1,1118
0,116,1119
0,24,112
0,10,1120
0,466,1121
0,165,1122
0,578,1123
0,134,1124
0,368,1125
0,66,1126
0,255,1128
0,353,1129
0,174,113
0,103,1130
0,850,1131
0,86,1132
0,67,1133
0,36,1134
0,233,1135
0,142,1136
0,288,1137
0,123,1138
0,558,1139
0,128,114
0,84,1140
0,561,1141
0,50,1142
0,91,1143
0,1040,1144
0,4,1145
0,395,1146
0,160,1147
0,149,1148
0,352,1149
0,311,115
0,366,1150
0,384,1151
0,140,1152
0,344,1153
0,161,1154
0,49,1155
0,597,1156
0,41,1157
0,283,1158
0,4,116
0,182,1160
0,18,1161
0,191,1162
0,201,1163
0,590,1164
0,91,1165
0,150,1166
0,250,1167
0,396,1168
0,9,1169
0,216,117
0,538,1170
0,143,1171
0,62,1172
0,6,1173
0,2,1174
0,42,1175
0,441,1176
0,177,1177
0,257,1178
0,226,1179
0,24,118
0,280,1180
0,220,1181
0,245,1182
0,12,1183
0,1,1184
0,270,1185
0,148,1186
0,60,1187
0,145,1188
0,70,119
0,208,1190
0,43,1191
0,284,1192
0,49,1193
0,62,1194
0,53,1195
0,126,1196
0,375,1197
0,101,1198
0,67,1199
0,277,12
0,185,120
0,123,1200
0,133,1201
0,21,1202
0,291,1203
0,604,1204
0,3,1205
0,427,1206
0,183,1207
0,4,1208
0,393,1209
0,5,121
0,43,1210
0,288,1211
0,88,1212
0,9,1213
0,67,1214
0,148,1215
0,180,1216
0,38,1217
0,111,1218
0,185,1219
0,35,122
0,314,1221
0,80,1222
0,176,1223
0,40,1224
0,796,1225
0,178,1226
0,258,1227
0,146,1228
0,77,1229
0,116,123
0,425,1230
0,271,1231
0,261,1232
0,236,1233
0,71,1234
0,31,1235
0,17,1236
0,444,1237
0,162,1239
0,11,124
0,35,1240
0,336,1241
0,334,1242
0,206,1243
0,572,1244
0,344,1245
0,7,1246
0,185,1247
0,435,1248
0,22,1249
0,187,125
0,118,1250
0,3,1251
0,689,1252
0,17,1253
0,100,1254
0,284,1255
0,206,1256
0,114,1257
0,521,1258
0,193,1259
0,230,126
0,108,1260
0,260,1261
0,399,1262
0,21,1264
0,158,1265
0,202,1266
0,1,1267
0,159,1268
0,7,1269
0,14,127
0,176,1270
0,237,1271
0,892,1272
0,2,1273
0,415,1274
0,15,1275
0,222,1276
0,8,1277
