nI,KI,v0,tau0,v1,tau1,v2,tau2,K0_0,n0_0,K0_1,n0_1,K0_2,n0_2,K1_0,n1_0,K1_1,n1_1,K1_2,n1_2,K2_0,n2_0,K2_1,n2_1,K2_2,n2_2
1,0.4,0.014297707092140314,69.94128453993274,0.6754224869350812,1.4805547925088787,0.3931652957771811,2.543459483175572,0.12763542671760686,3.0,0.0059705677785378275,1.0,0.001088794850804032,4.0,0.2161601849898686,2.0,0.0017791900120262968,4.0,0.18767275447559217,1.0,0.012255175280568017,3.0,0.076374967156668,2.0,0.02087314091890519,2.0
1,0.4,0.4441744593129984,2.251367630517732,0.027084385380835303,36.92164270811152,0.11760214092773928,8.503246557513359,0.011074806625006895,2.0,0.00591353530534716,3.0,0.0022320414076496087,2.0,0.9655504364740755,2.0,0.043089675635560064,2.0,0.02275624677926487,2.0,0.38497949562396433,2.0,0.03429793915024981,1.0,0.0019284881044370655,2.0
1,0.4,0.4658106265711058,2.146795163006764,0.06307045559216529,15.855284231119802,0.010974613248195238,91.11938410808679,0.022222727995465423,3.0,0.09191625418950591,2.0,0.9020934898878337,2.0,0.024011589778407436,3.0,0.7670772493347869,4.0,0.12442800565208123,3.0,0.001728848869222675,4.0,0.005448419197959078,3.0,0.01826486432821155,2.0
1,0.4,0.014720927571432688,67.9305020113401,0.22982519731909629,4.351132998752829,0.012721957928274396,78.60425302755579,0.007603112488988087,2.0,0.00391169094274493,3.0,0.3351170648680272,1.0,0.0576213459202711,4.0,0.00672717114866766,4.0,0.004650134830271411,1.0,0.9658669992683276,4.0,0.02281887862491344,1.0,0.005597263653294213,3.0
1,0.4,0.15992021240502333,6.25311825791815,0.013804240549531877,72.4415078404231,0.19332371862474063,5.172671036506872,0.056539044591362324,4.0,0.17756557303357046,4.0,0.14944630084479202,2.0,0.2123680712649363,1.0,0.0027218441321085643,2.0,0.07518175983117674,2.0,0.008298807475923226,2.0,0.0011071148179652615,3.0,0.0020265061993512807,1.0
1,0.4,0.012409798373702147,80.58148649047514,0.14150390878508784,7.06694259251009,0.04893246670128088,20.43632923933147,0.002942323340891253,4.0,0.03650527839895051,3.0,0.21681289695217007,1.0,0.0038207855289995626,4.0,0.0490716873968031,2.0,0.040767964879251446,3.0,0.0031559112917393,2.0,0.006738045117712189,1.0,0.0043574586654000005,2.0
1,0.4,0.7719795187849338,1.2953711538538766,0.08402984828956017,11.90053320760594,0.1650714275546419,6.057983594216996,0.05848840933379009,1.0,0.8070476463352083,2.0,0.07953199179086251,2.0,0.012337002270455026,3.0,0.00378203277208605,3.0,0.48895726340478785,1.0,0.0692481728933138,2.0,0.0045238381457316955,3.0,0.0070777678659142565,3.0
1,0.4,0.03862396718759185,25.890659940319527,0.044306109852305126,22.57025054407869,0.014328839110020704,69.78932433546984,0.8977794509897066,2.0,0.7067733967304669,3.0,0.27010571226478935,2.0,0.679694433664849,4.0,0.02429949584653971,2.0,0.1323875607562322,2.0,0.003963245736483976,2.0,0.0012025493569026774,4.0,0.010808164339362948,2.0
1,0.4,0.01250983423226344,79.93711039119557,0.03912051371644993,25.562036512304445,0.011254482099635385,88.85348887199326,0.05266076841126001,1.0,0.2519966802863243,3.0,0.0034125974195148632,4.0,0.004439713286692077,2.0,0.025659750694540295,1.0,0.07442291940245237,1.0,0.01164220791365339,2.0,0.018146931638569255,3.0,0.0034679769986487976,1.0
1,0.4,0.6655596299960405,1.5024949755530532,0.011597012354614218,86.2291053438535,0.12708196363956437,7.868937269778466,0.8015117863512685,2.0,0.011448861253670225,3.0,0.6131645730516943,2.0,0.1948914431525145,3.0,0.043297695265100744,2.0,0.03319807835837371,3.0,0.0503599286054495,4.0,0.08751714252048037,2.0,0.0011338696945021258,4.0
1,0.4,0.11159433027264633,8.96102873288283,0.503851899086188,1.9847101932406168,0.042559604934321954,23.4964587087498,0.05392176940024322,2.0,0.03979616710965458,3.0,0.02767140757229722,1.0,0.09526961640902282,3.0,0.3511420835535761,1.0,0.01986968542450763,2.0,0.0015684298457569585,2.0,0.34560876248544914,2.0,0.44924847378282856,3.0
1,0.4,0.013905643404841388,71.91324923892698,0.1322914216337417,7.559069119149478,0.5854804340399442,1.7079990070714735,0.01633407694186684,2.0,0.0025515551998681464,1.0,0.28728130973045285,4.0,0.013776888024483609,4.0,0.001295019757114233,3.0,0.44410542450855417,2.0,0.002907586595018668,2.0,0.72685034015242,2.0,0.16873458337458533,3.0
1,0.4,0.05107222390694826,19.580114659231675,0.034907896502358975,28.646813477644603,0.20377417566414888,4.907393180420239,0.0023459534592821735,2.0,0.4455641861957748,2.0,0.3699679293929304,3.0,0.0020952270858038,4.0,0.14763509616601278,2.0,0.005173032036852318,3.0,0.012345178418867727,2.0,0.005013095289726778,3.0,0.002297436348556366,4.0
1,0.4,0.24752475272247654,4.039999995964827,0.25472687484100326,3.9257734411580447,0.020532270418732294,48.703819870191545,0.008175775671936059,1.0,0.3066817316959805,2.0,0.0032021168080721583,2.0,0.48506999824982444,3.0,0.4454407372490728,4.0,0.5688945768229147,2.0,0.008782971814766895,3.0,0.044150338988982726,3.0,0.005068760574025586,2.0
1,0.4,0.08713983166835135,11.475808259602065,0.01308795394971539,76.40613680656676,0.03664485872251556,27.288957710882755,0.10740999782032143,2.0,0.0012642964848450402,4.0,0.5345407342381122,2.0,0.02088688254651794,2.0,0.8862947696222017,2.0,0.0071294705992173465,3.0,0.04755111988714969,4.0,0.894917794831685,2.0,0.026843534441167397,3.0
1,0.4,0.015767244766554254,63.42262169489605,0.1909708684968381,5.23640075510552,0.4115286508215738,2.4299644702831866,0.5154103257232654,2.0,0.05007723235491415,2.0,0.1561529661370985,4.0,0.12228252546813324,3.0,0.03222326238647818,1.0,0.3318842414047514,2.0,0.005676134253684264,2.0,0.05438816259197867,2.0,0.124188062204902,1.0
1,0.4,0.08896195801864601,11.240759783978728,0.34704168799609003,2.8814982020582685,0.022273969222661557,44.89545576738065,0.7110510909746579,2.0,0.013400372443497616,3.0,0.0013856940925216948,3.0,0.004327262220408039,1.0,0.09116293132995083,4.0,0.012455308951401041,2.0,0.002831418653865383,1.0,0.0022560223603854887,3.0,0.027688710080189024,1.0
1,0.4,0.13109119031781905,7.628277671257603,0.08772452284654271,11.3993210513018,0.020658448942832412,48.406344676082604,0.02184579479601709,2.0,0.0024690480397682427,3.0,0.04997888759343585,1.0,0.6871382576465818,3.0,0.11592726893927548,3.0,0.0015235433816876871,2.0,0.028466908778786344,3.0,0.6259324291102785,3.0,0.08615328284908454,4.0
1,0.4,0.09579149904318285,10.439339711650192,0.10017279579742912,9.982750227139658,0.03134168014599468,31.906394148042995,0.0017394276941034431,3.0,0.0012075601854017774,4.0,0.021991423218872177,4.0,0.021886064525737468,4.0,0.08535067997267366,4.0,0.19677203875493118,2.0,0.002487886572475639,3.0,0.003969184336723335,2.0,0.011903180912740488,3.0
